i1,i2,d1,d2,d3,d4,ind1,ind2,ind3,ind4,ind5,,ind6
2010/12,ADEL,26.49,27.07,19.51,31.92,17.29,1.56,2.17,29.86,6.15,0.001022828,0.1022828
2010/12,AFYON,0.9,-2.23,1.26,1.06,17.15,4.72,7.12,6.68,3.85,0.000723658,0.0723658
2010/12,AKCNS,4.95,9.52,7.25,7.23,31.72,4.42,8.58,7.32,1.77,0.013840499,1.3840499
2010/12,AKSA,4.35,6.21,4.35,7.68,42.91,3.88,7.74,6,1.67,0.015268532,1.5268532
2010/12,ALCAR,3.46,2.51,3.49,4.16,16.25,2.79,4.85,12.73,6.57,0.002869406,0.2869406
2010/12,ARCLK,7.52,8.15,7.45,17.12,53.46,3.01,5.05,5.62,2.03,0.082266795,8.2266795
2010/12,ARSAN,-13.62,-20.03,-24.17,-29.71,47.19,4.08,3.85,8.13,0.68,0.002050764,0.2050764
2010/12,ASUZU,-1.5,-0.55,-1.34,-2.78,50.98,5.61,2.41,4.88,1.52,0.003708177,0.3708177
2010/12,ATEKS,-6.15,-6.68,-8.46,-8.49,21.35,5.57,4.14,6.9,1.51,0.002721265,0.2721265
2010/12,AYGAZ,8.86,4.66,5.14,12.97,28.17,15.9,28.3,17.77,1.9,0.031501602,3.1501602
2010/12,BAGFS,20.02,18.82,16.79,28.92,25.71,9.77,8.3,4.18,2.68,0.002812251,0.2812251
2010/12,BAKAB,7.63,7.08,7.28,12.91,39.42,4.23,6.23,3.61,1.75,0.001364381,0.1364381
2010/12,BANVT,11.17,8.74,5.87,34.27,63.06,6.78,8.8,9.12,1.71,0.006541871,0.6541871
2010/12,BFREN,2.12,8.53,2.65,24.06,89.98,2.65,5.61,2.73,0.62,0.000800526,0.0800526
2010/12,BOSSA,1.04,0.71,1.36,1.52,34.13,3.99,3.5,8.7,1.8,0.004810693,0.4810693
2010/12,BRISA,7.8,6.71,5.78,12.94,43.24,4.75,4.76,7.49,1.63,0.008887263,0.8887263
2010/12,BRSAN,-1.39,-1.33,-1.37,-2.73,51.16,8.33,4.5,3.14,0.94,0.011266123,1.1266123
2010/12,BTCIM,2.93,3.57,4.65,4.08,19,6.01,4.82,7.69,3.59,0.005896609,0.5896609
2010/12,BUCIM,2.99,-0.74,2.68,4.85,25.74,4,5.08,11.15,2.94,0.00424418,0.424418
2010/12,BURCE,-6.75,-8.06,-8.2,-17.51,44.99,14.68,2.07,5.7,1.22,0.000439016,0.0439016
2010/12,CELHA,2.15,-0.23,1.66,5.16,58.41,4.56,5.98,5.06,1.14,0.000878483,0.0878483
2010/12,CEMTS,-2.59,-4.19,-2.42,-2.96,17.56,5.65,3.78,20.23,3.39,0.001772521,0.1772521
2010/12,CIMSA,8.88,20.21,14.63,11.47,22.4,5.55,6.75,8.83,1.31,0.012739715,1.2739715
2010/12,CMBTN,-8.21,-5.3,-4.51,-17.25,55.57,4.55,77.54,5.09,0.9,0.000616528,0.0616528
2010/12,CMENT,2.02,4.04,4.26,3.18,25.12,5.22,6.07,6.85,2.17,0.012403369,1.2403369
2010/12,DEVA,-0.28,1.05,-0.42,-0.5,45.44,2.53,2.22,4.52,1.42,0.00699775,0.699775
2010/12,DITAS,-7.09,-9.59,-6.44,-12.03,44.1,4.68,4.5,8.97,1.7,0.00039528,0.039528
2010/12,DMSAS,3.08,6.01,2.83,5.01,37.99,4.1,5.01,11.25,1.63,0.001323602,0.1323602
2010/12,ECILC,2.34,4.7,6.61,2.66,10.33,4.44,7.08,4.61,5.25,0.029912571,2.9912571
2010/12,EGEEN,5.23,8.41,5.06,10.38,53.39,3.2,2.93,6.8,1.6,0.000962738,0.0962738
2010/12,EGGUB,6.78,13.74,9.61,17.88,56.41,33.18,7.32,2.37,0.55,0.002627023,0.2627023
2010/12,EGPRO,6.04,9.53,6.99,14.92,54.85,1.79,5.99,4.91,1.54,0.002814469,0.2814469
2010/12,ERBOS,7.32,5.06,5.82,10.88,28.41,4.56,3.5,4.91,2.74,0.001240001,0.1240001
2010/12,EREGL,6.2,17.03,11.55,12.48,50.59,9.03,2.29,14.88,1.68,0.152145464,15.2145464
2010/12,FMIZP,25.13,23.48,21.18,26.89,6.3,7.02,15.64,20.62,12.85,0.000292147,0.0292147
2010/12,FRIGO,-9.88,-15.07,-16.68,-62.17,87.06,7.09,2.09,3.74,1.32,0.000325494,0.0325494
2010/12,FROTO,16.54,7.52,6.6,29.64,47.38,8.86,13.95,11.96,1.98,0.037472737,3.7472737
2010/12,GENTS,12.11,14.6,17.62,13.44,8.6,3.66,3.79,11.01,8.16,0.001416275,0.1416275
2010/12,GOLTS,1.19,6.48,2.51,1.82,32.89,8.44,4.94,5.11,2.84,0.004826501,0.4826501
2010/12,GOODY,3.02,3.83,1.71,5.17,46.59,5.38,8.11,9.5,1.74,0.005751085,0.5751085
2010/12,GUBRF,6.04,23.75,8.65,31.89,62.45,5.41,3.77,2.03,0.93,0.024453373,2.4453373
2010/12,HEKTS,12.11,17.17,16.98,16.16,25.65,1.67,2.67,4.25,3.44,0.001412758,0.1412758
2010/12,IHEVA,3.19,-2.86,9.04,4.62,20.01,2.25,3.29,4.15,3.33,0.003251551,0.3251551
2010/12,KAPLM,0.96,1.47,0.68,1.57,43.03,5.16,8.06,8.3,1.24,0.000605274,0.0605274
2010/12,KARTN,9.57,11.06,10.21,10.78,11.7,7.3,4.27,12.01,5.94,0.002159955,0.2159955
2010/12,KENT,-4.63,-5.92,-5.68,-7.88,42.91,3.22,5.38,5.61,1.1,0.006489761,0.6489761
2010/12,KLMSN,6.41,5.61,5.03,22.07,74.13,4.09,6.83,7.91,2.15,0.001728119,0.1728119
2010/12,KNFRT,7.04,13.77,7.9,14.07,53.82,7.04,1.49,12.67,1.53,0.000570922,0.0570922
2010/12,KONYA,9.07,13.75,16.66,10.08,9.8,5.26,4.07,9.2,9.09,0.004634868,0.4634868
2010/12,KORDS,3.08,6.58,3.12,5.15,31.87,6.63,4.49,9.9,2.06,0.014963289,1.4963289
2010/12,KRSTL,-3.44,-7.1,-8.81,-3.89,6.77,0.76,6.7,5.81,9.12,0.000775603,0.0775603
2010/12,KRTEK,0.99,5.79,1.09,1.67,40.83,2.8,6.34,10.98,1.86,0.001429009,0.1429009
2010/12,KUTPO,1.74,2.5,1.82,2.12,20.23,2.78,1.97,6.68,3.92,0.001617118,0.1617118
2010/12,MRSHL,8.33,7.54,5.91,11.84,29.66,3.74,8.28,4.82,2.87,0.001853865,0.1853865
2010/12,OTKAR,3.54,4.18,4.02,11.99,72.7,4.83,3.37,8.19,1.19,0.007142001,0.7142001
2010/12,OYAKC,27.14,35.45,32.96,31.04,14.28,5.14,4.54,14.95,3.12,0.003276096,0.3276096
2010/12,PARSN,0.75,6.14,2,1.02,17.53,5.41,3.7,10.04,2.31,0.003093217,0.3093217
2010/12,PENGD,4.13,-1.37,6.31,7.83,31.98,6.97,2.43,4.52,1.27,0.001512161,0.1512161
2010/12,PETKM,5.8,4.65,4.47,8.47,32.64,8.22,8.22,5.8,1.62,0.026695376,2.6695376
2010/12,PINSU,4.01,2.53,5.49,5.3,24.11,5.92,9.97,3.66,1.41,0.001076775,0.1076775
2010/12,PNSUT,11.88,8.37,10.41,16.35,27.75,7.95,10.28,5.74,1.92,0.005984176,0.5984176
2010/12,PRKAB,-2.12,1.05,-1.1,-4.22,53.68,4.56,9.5,4.61,1.63,0.003046731,0.3046731
2010/12,SARKY,1.88,-1.29,0.75,4.35,59.86,6.9,12.85,32.02,1.2,0.007462135,0.7462135
2010/12,SASA,6.95,6.12,4.76,14.06,52.28,8.62,4.97,8.26,1.18,0.005471517,0.5471517
2010/12,SELGD,0.8,-21.64,1.37,1.5,46.03,5.79,2.78,13.26,1.09,0.000158305,0.0158305
2010/12,SISE,6.12,12.65,9.79,13.29,38.75,5.94,4.13,11.75,3.08,0.076067171,7.6067171
2010/12,SKTAS,3.25,10.62,6.26,7.56,56.33,6.79,3.43,7.22,1.35,0.003245985,0.3245985
2010/12,SNPAM,-1.44,4.7,-4.85,-1.49,3.61,2.5,3.25,10.89,10.76,0.000899922,0.0899922
2010/12,TATGD,2.96,5.34,2.06,9.19,58.08,4.64,4.71,10.75,2.01,0.006250612,0.6250612
2010/12,TBORG,-2.82,-2.16,-3.04,-5.18,50.63,2.41,5.39,5.02,0.99,0.002458613,0.2458613
2010/12,TOASO,7.96,6.11,5.99,24.57,67.72,8.4,16.98,4.53,1.36,0.059372188,5.9372188
2010/12,TUKAS,0.5,1.86,0.69,1.14,54.89,2.02,2.71,4.15,2.09,0.001899563,0.1899563
2010/12,TUPRS,6.11,4.57,2.82,19.35,71.97,36.72,11.92,6.76,1.05,0.156382134,15.6382134
2010/12,ULKER,6.58,2.62,12.13,14.3,47.08,4,8.87,3.45,1.92,0.032425481,3.2425481
2010/12,USAK,0.8,8.23,1.21,2.27,66.8,3.04,3.26,8.86,1.04,0.001475069,0.1475069
2010/12,VESTL,0.99,2.46,0.73,3.92,71.44,4.33,4.8,2.56,1.16,0.044924002,4.4924002
2010/12,YATAS,0.42,5.22,0.52,1.45,72.78,3.09,2.28,2.41,1.16,0.002170278,0.2170278
2010/12,YUNSA,3.83,6.44,3.32,10.98,65.08,3.15,3.11,9.4,1.1,0.001614837,0.1614837
2011/12,ADEL,25.66,27.39,19.07,31.13,17.81,1.5,1.72,28.1,5.94,0.001094857,0.1094857
2011/12,AFYON,-8.84,-14.73,-11.61,-10.6,15.81,4.74,5.93,7.42,4,0.000543451,0.0543451
2011/12,AKCNS,7.99,13.77,9.93,11.85,31.63,4.34,8.25,6.1,1.24,0.01257184,1.257184
2011/12,AKSA,6.45,8.73,5.79,12.14,48.51,4.7,6.6,6.21,1.77,0.016250401,1.6250401
2011/12,ALCAR,18.01,7.81,15.97,21.97,19.41,3.99,4.83,12.77,5.47,0.003219105,0.3219105
2011/12,ARCLK,6.13,7.81,6,14.71,60.3,2.92,4.5,5.33,1.71,0.090445564,9.0445564
2011/12,ARSAN,3.21,-8.43,6.64,6.63,51.37,5.01,3.07,7.11,0.57,0.002044969,0.2044969
2011/12,ASUZU,3.91,3.91,2.82,7.93,50.27,6.03,3.04,5.71,1.59,0.003463526,0.3463526
